05|Biddle GmbH - EN442|02.01.23|2.00|Aus Datenblatt Biddle GMBH
10|Biddle Sitzbank-Konvektor|21.02.11|P|Bank-Konvektor|M|10.0||||auf Anfrage||||RAL 9016|andere RAL
25|1|600|700|800|900|1000|1100|1200|1400|1600|1800|2000|2200|2400|2600
33|1|lieferbar|1000||||1000
40|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
50|1|11|2|2|@BL@
60|246|328||NT275 S||2175|1.386|6.3||0.29|2.0|134|100|0|NT275 S
60|246|244||NT200 S||1604|1.386|6.3||0.29|2.0|144|100|0|NT200 S
10|Biddle Euro Vectair|02.01.23|P|Wand-Konvektor|M|10.0||||auf Anfrage||||RAL 9016|andere RAL
25|1|600|700|800|900|1000|1100|1200|1400|1600|1800|2000|2200|2400|2600
33|1|lieferbar|1000||||1000
40|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
50|1|11|2|2|@BL@
60|600|102||NT100 60||1293|1.386|6.3||0.29|2.0|175.1|100|0|NT100 60
60|600|143||NT150 60||2070|1.386|6.3||0.29|2.0|263.7|100|0|NT150 60
60|600|194||NT200 60||2640|1.386|6.3||0.29|2.0|202.6|100|0|NT200 60
60|450|102||NT100 45||1188|1.386|6.3||0.29|2.0|175.1|100|0|NT100 45
60|450|143||NT150 45||1809|1.386|6.3||0.29|2.0|263.7|100|0|NT150 45
60|450|194||NT200 45||2433|1.386|6.3||0.29|2.0|202.6|100|0|NT200 45
